"tree_species","neighbourhood_name","tree_scale","height_range_id","n_tree"
"PRUNUS CERASIFERA","KERRISDALE","short",2,407
"PRUNUS CERASIFERA","KILLARNEY","short",2,313
"PRUNUS CERASIFERA","KITSILANO","short",2,252
"PRUNUS CERASIFERA","MARPOLE","short",2,386
"PRUNUS CERASIFERA","MOUNT PLEASANT","short",2,58
"PRUNUS CERASIFERA","OAKRIDGE","short",2,519
"PRUNUS CERASIFERA","RENFREW-COLLINGWOOD","short",2,480
"PRUNUS CERASIFERA","RILEY PARK","short",2,438
"PRUNUS CERASIFERA","SHAUGHNESSY","short",2,464
"PRUNUS CERASIFERA","SOUTH CAMBIE","short",2,151
"PRUNUS CERASIFERA","STRATHCONA","short",2,24
"PRUNUS CERASIFERA","SUNSET","short",2,600
"PRUNUS CERASIFERA","VICTORIA-FRASERVIEW","short",2,636
"PRUNUS CERASIFERA","WEST END","short",2,109
"PRUNUS CERASIFERA","WEST POINT GREY","short",2,204
"PRUNUS SERRULATA","ARBUTUS-RIDGE","short",2,221
"PRUNUS SERRULATA","DOWNTOWN","short",2,85
"PRUNUS SERRULATA","DUNBAR-SOUTHLANDS","short",2,570
"PRUNUS SERRULATA","FAIRVIEW","short",2,177
"PRUNUS SERRULATA","GRANDVIEW-WOODLAND","short",2,306
"PRUNUS SERRULATA","HASTINGS-SUNRISE","short",2,206
"PRUNUS SERRULATA","KENSINGTON-CEDAR COTTAGE","short",2,312
"PRUNUS SERRULATA","KERRISDALE","short",2,413
"PRUNUS SERRULATA","KILLARNEY","short",2,217
"PRUNUS SERRULATA","KITSILANO","short",2,341
"PRUNUS SERRULATA","MARPOLE","short",2,402
"PRUNUS SERRULATA","MOUNT PLEASANT","short",2,403
"PRUNUS SERRULATA","OAKRIDGE","short",2,494
"PRUNUS SERRULATA","RENFREW-COLLINGWOOD","short",2,519
"PRUNUS SERRULATA","RILEY PARK","short",2,347
"PRUNUS SERRULATA","SHAUGHNESSY","short",2,304
"PRUNUS SERRULATA","SOUTH CAMBIE","short",2,216
"PRUNUS SERRULATA","STRATHCONA","short",2,99
"PRUNUS SERRULATA","SUNSET","short",2,419
"PRUNUS SERRULATA","VICTORIA-FRASERVIEW","short",2,385
"PRUNUS SERRULATA","WEST END","short",2,226
"PRUNUS SERRULATA","WEST POINT GREY","short",2,180
"TILIA EUCHLORA   X","DOWNTOWN","short",2,33
"TILIA EUCHLORA   X","DUNBAR-SOUTHLANDS","short",2,20
"TILIA EUCHLORA   X","FAIRVIEW","short",2,12
"TILIA EUCHLORA   X","GRANDVIEW-WOODLAND","short",2,13
"TILIA EUCHLORA   X","HASTINGS-SUNRISE","short",2,28
"TILIA EUCHLORA   X","KENSINGTON-CEDAR COTTAGE","short",2,18
"TILIA EUCHLORA   X","KERRISDALE","short",2,14
"TILIA EUCHLORA   X","KILLARNEY","short",2,123
"TILIA EUCHLORA   X","KITSILANO","short",2,41
"TILIA EUCHLORA   X","MARPOLE","short",2,3
"TILIA EUCHLORA   X","MOUNT PLEASANT","short",2,35
"TILIA EUCHLORA   X","OAKRIDGE","short",2,10
"TILIA EUCHLORA   X","RENFREW-COLLINGWOOD","short",2,11
"TILIA EUCHLORA   X","RILEY PARK","short",2,22
"TILIA EUCHLORA   X","SHAUGHNESSY","short",2,5
"TILIA EUCHLORA   X","SOUTH CAMBIE","short",2,12
"TILIA EUCHLORA   X","STRATHCONA","short",2,7
"TILIA EUCHLORA   X","SUNSET","short",2,32
"TILIA EUCHLORA   X","VICTORIA-FRASERVIEW","short",2,28
"TILIA EUCHLORA   X","WEST END","short",2,14
"TILIA EUCHLORA   X","WEST POINT GREY","short",2,7
"ACER CAMPESTRE","ARBUTUS-RIDGE","medium",3,45
"ACER CAMPESTRE","DOWNTOWN","medium",3,73
"ACER CAMPESTRE","DUNBAR-SOUTHLANDS","medium",3,79
"ACER CAMPESTRE","FAIRVIEW","medium",3,29
"ACER CAMPESTRE","GRANDVIEW-WOODLAND","medium",3,48
"ACER CAMPESTRE","HASTINGS-SUNRISE","medium",3,193
"ACER CAMPESTRE","KENSINGTON-CEDAR COTTAGE","medium",3,147
"ACER CAMPESTRE","KERRISDALE","medium",3,10
"ACER CAMPESTRE","KILLARNEY","medium",3,14
"ACER CAMPESTRE","KITSILANO","medium",3,41
"ACER CAMPESTRE","MARPOLE","medium",3,7
"ACER CAMPESTRE","MOUNT PLEASANT","medium",3,36
"ACER CAMPESTRE","OAKRIDGE","medium",3,8
"ACER CAMPESTRE","RENFREW-COLLINGWOOD","medium",3,126
"ACER CAMPESTRE","RILEY PARK","medium",3,140
"ACER CAMPESTRE","SHAUGHNESSY","medium",3,41
"ACER CAMPESTRE","SOUTH CAMBIE","medium",3,15
"ACER CAMPESTRE","STRATHCONA","medium",3,13
"ACER CAMPESTRE","SUNSET","medium",3,90
"ACER CAMPESTRE","VICTORIA-FRASERVIEW","medium",3,56
"ACER CAMPESTRE","WEST END","medium",3,24
"ACER CAMPESTRE","WEST POINT GREY","medium",3,17
"ACER FREEMANI   X","DOWNTOWN","medium",3,104
"ACER FREEMANI   X","DUNBAR-SOUTHLANDS","medium",3,31
"ACER FREEMANI   X","FAIRVIEW","medium",3,47
"ACER FREEMANI   X","GRANDVIEW-WOODLAND","medium",3,93
"ACER FREEMANI   X","HASTINGS-SUNRISE","medium",3,154
"ACER FREEMANI   X","KENSINGTON-CEDAR COTTAGE","medium",3,94
"ACER FREEMANI   X","KERRISDALE","medium",3,28
"ACER FREEMANI   X","KILLARNEY","medium",3,102
"ACER FREEMANI   X","KITSILANO","medium",3,34
"ACER FREEMANI   X","MARPOLE","medium",3,28
"ACER FREEMANI   X","MOUNT PLEASANT","medium",3,191
"ACER FREEMANI   X","OAKRIDGE","medium",3,6
"ACER FREEMANI   X","RENFREW-COLLINGWOOD","medium",3,60
"ACER FREEMANI   X","RILEY PARK","medium",3,47
"ACER FREEMANI   X","SHAUGHNESSY","medium",3,9
"ACER FREEMANI   X","SOUTH CAMBIE","medium",3,15
"ACER FREEMANI   X","STRATHCONA","medium",3,8
"ACER FREEMANI   X","SUNSET","medium",3,40
"ACER FREEMANI   X","VICTORIA-FRASERVIEW","medium",3,57
"ACER FREEMANI   X","WEST END","medium",3,95
"ACER FREEMANI   X","WEST POINT GREY","medium",3,37
"ACER PLATANOIDES","ARBUTUS-RIDGE","medium",3,84
"ACER PLATANOIDES","DOWNTOWN","medium",3,136
"ACER PLATANOIDES","DUNBAR-SOUTHLANDS","medium",3,558
"ACER PLATANOIDES","FAIRVIEW","medium",3,179
"ACER PLATANOIDES","GRANDVIEW-WOODLAND","medium",3,123
"ACER PLATANOIDES","HASTINGS-SUNRISE","medium",3,294
"ACER PLATANOIDES","KENSINGTON-CEDAR COTTAGE","medium",3,219
"ACER PLATANOIDES","KERRISDALE","medium",3,557
"ACER PLATANOIDES","KILLARNEY","medium",3,56
"ACER PLATANOIDES","KITSILANO","medium",3,550
"ACER PLATANOIDES","MARPOLE","medium",3,271
"ACER PLATANOIDES","MOUNT PLEASANT","medium",3,174
"ACER PLATANOIDES","OAKRIDGE","medium",3,83
"ACER PLATANOIDES","RENFREW-COLLINGWOOD","medium",3,171
"ACER PLATANOIDES","RILEY PARK","medium",3,193
"ACER PLATANOIDES","SHAUGHNESSY","medium",3,488
"ACER PLATANOIDES","SOUTH CAMBIE","medium",3,139
"ACER PLATANOIDES","STRATHCONA","medium",3,51
"ACER PLATANOIDES","SUNSET","medium",3,226
"ACER PLATANOIDES","VICTORIA-FRASERVIEW","medium",3,48
"ACER PLATANOIDES","WEST END","medium",3,129
"ACER PLATANOIDES","WEST POINT GREY","medium",3,293
"ACER RUBRUM","ARBUTUS-RIDGE","medium",3,111
"ACER RUBRUM","DOWNTOWN","medium",3,466
"ACER RUBRUM","DUNBAR-SOUTHLANDS","medium",3,93
"ACER RUBRUM","FAIRVIEW","medium",3,344
"ACER RUBRUM","GRANDVIEW-WOODLAND","medium",3,256
"ACER RUBRUM","HASTINGS-SUNRISE","medium",3,207
"ACER RUBRUM","KENSINGTON-CEDAR COTTAGE","medium",3,230
"ACER RUBRUM","KERRISDALE","medium",3,51
"ACER RUBRUM","KILLARNEY","medium",3,266
"ACER RUBRUM","KITSILANO","medium",3,199
"ACER RUBRUM","MARPOLE","medium",3,150
"ACER RUBRUM","MOUNT PLEASANT","medium",3,293
"ACER RUBRUM","OAKRIDGE","medium",3,42
"ACER RUBRUM","RENFREW-COLLINGWOOD","medium",3,165
"ACER RUBRUM","RILEY PARK","medium",3,73
"ACER RUBRUM","SHAUGHNESSY","medium",3,66
"ACER RUBRUM","SOUTH CAMBIE","medium",3,59
"ACER RUBRUM","STRATHCONA","medium",3,62
"ACER RUBRUM","SUNSET","medium",3,74
"ACER RUBRUM","VICTORIA-FRASERVIEW","medium",3,63
"ACER RUBRUM","WEST END","medium",3,150
"ACER RUBRUM","WEST POINT GREY","medium",3,86
"CARPINUS BETULUS","ARBUTUS-RIDGE","medium",3,63
"CARPINUS BETULUS","DOWNTOWN","medium",3,115
"CARPINUS BETULUS","DUNBAR-SOUTHLANDS","medium",3,9
"CARPINUS BETULUS","FAIRVIEW","medium",3,76
"CARPINUS BETULUS","GRANDVIEW-WOODLAND","medium",3,198
"CARPINUS BETULUS","HASTINGS-SUNRISE","medium",3,224
"CARPINUS BETULUS","KENSINGTON-CEDAR COTTAGE","medium",3,205
"CARPINUS BETULUS","KERRISDALE","medium",3,13
"CARPINUS BETULUS","KILLARNEY","medium",3,71
"CARPINUS BETULUS","KITSILANO","medium",3,118
"CARPINUS BETULUS","MARPOLE","medium",3,85
"CARPINUS BETULUS","MOUNT PLEASANT","medium",3,63
"CARPINUS BETULUS","OAKRIDGE","medium",3,8
"CARPINUS BETULUS","RENFREW-COLLINGWOOD","medium",3,189
"CARPINUS BETULUS","RILEY PARK","medium",3,135
"CARPINUS BETULUS","SHAUGHNESSY","medium",3,25
"CARPINUS BETULUS","SOUTH CAMBIE","medium",3,12
"CARPINUS BETULUS","STRATHCONA","medium",3,102
"CARPINUS BETULUS","SUNSET","medium",3,130
"CARPINUS BETULUS","VICTORIA-FRASERVIEW","medium",3,60
"CARPINUS BETULUS","WEST END","medium",3,62
"CARPINUS BETULUS","WEST POINT GREY","medium",3,11
"FAGUS SYLVATICA","ARBUTUS-RIDGE","medium",3,34
"FAGUS SYLVATICA","DOWNTOWN","medium",3,128
"FAGUS SYLVATICA","DUNBAR-SOUTHLANDS","medium",3,15
"FAGUS SYLVATICA","FAIRVIEW","medium",3,39
"FAGUS SYLVATICA","GRANDVIEW-WOODLAND","medium",3,100
"FAGUS SYLVATICA","HASTINGS-SUNRISE","medium",3,87
"FAGUS SYLVATICA","KENSINGTON-CEDAR COTTAGE","medium",3,122
"FAGUS SYLVATICA","KERRISDALE","medium",3,21
"FAGUS SYLVATICA","KILLARNEY","medium",3,33
"FAGUS SYLVATICA","KITSILANO","medium",3,65
"FAGUS SYLVATICA","MARPOLE","medium",3,27
"FAGUS SYLVATICA","MOUNT PLEASANT","medium",3,70
"FAGUS SYLVATICA","OAKRIDGE","medium",3,4
"FAGUS SYLVATICA","RENFREW-COLLINGWOOD","medium",3,188
"FAGUS SYLVATICA","RILEY PARK","medium",3,43
"FAGUS SYLVATICA","SHAUGHNESSY","medium",3,9
"FAGUS SYLVATICA","SOUTH CAMBIE","medium",3,36
"FAGUS SYLVATICA","STRATHCONA","medium",3,15
"FAGUS SYLVATICA","SUNSET","medium",3,73
"FAGUS SYLVATICA","VICTORIA-FRASERVIEW","medium",3,28
"FAGUS SYLVATICA","WEST END","medium",3,20
"FAGUS SYLVATICA","WEST POINT GREY","medium",3,15
"MAGNOLIA KOBUS","ARBUTUS-RIDGE","medium",3,40
"MAGNOLIA KOBUS","DOWNTOWN","medium",3,8
"MAGNOLIA KOBUS","DUNBAR-SOUTHLANDS","medium",3,13
"MAGNOLIA KOBUS","GRANDVIEW-WOODLAND","medium",3,2
"MAGNOLIA KOBUS","HASTINGS-SUNRISE","medium",3,126
"MAGNOLIA KOBUS","KENSINGTON-CEDAR COTTAGE","medium",3,56
"MAGNOLIA KOBUS","KERRISDALE","medium",3,61
"MAGNOLIA KOBUS","KILLARNEY","medium",3,6
"MAGNOLIA KOBUS","KITSILANO","medium",3,85
"MAGNOLIA KOBUS","MARPOLE","medium",3,5
"MAGNOLIA KOBUS","MOUNT PLEASANT","medium",3,1
"MAGNOLIA KOBUS","OAKRIDGE","medium",3,23
"MAGNOLIA KOBUS","RENFREW-COLLINGWOOD","medium",3,58
"MAGNOLIA KOBUS","RILEY PARK","medium",3,8
"MAGNOLIA KOBUS","SHAUGHNESSY","medium",3,22
"MAGNOLIA KOBUS","SOUTH CAMBIE","medium",3,10
"MAGNOLIA KOBUS","STRATHCONA","medium",3,1
"MAGNOLIA KOBUS","SUNSET","medium",3,12
"MAGNOLIA KOBUS","VICTORIA-FRASERVIEW","medium",3,108
"MAGNOLIA KOBUS","WEST END","medium",3,1
"MAGNOLIA KOBUS","WEST POINT GREY","medium",3,22
"PRUNUS CERASIFERA","ARBUTUS-RIDGE","medium",3,506
"PRUNUS CERASIFERA","DOWNTOWN","medium",3,3
"PRUNUS CERASIFERA","DUNBAR-SOUTHLANDS","medium",3,382
"PRUNUS CERASIFERA","FAIRVIEW","medium",3,46
"PRUNUS CERASIFERA","GRANDVIEW-WOODLAND","medium",3,75
"PRUNUS CERASIFERA","HASTINGS-SUNRISE","medium",3,417
"PRUNUS CERASIFERA","KENSINGTON-CEDAR COTTAGE","medium",3,244
"PRUNUS CERASIFERA","KERRISDALE","medium",3,225
"PRUNUS CERASIFERA","KILLARNEY","medium",3,209
"PRUNUS CERASIFERA","KITSILANO","medium",3,183
"PRUNUS CERASIFERA","MARPOLE","medium",3,225
"PRUNUS CERASIFERA","MOUNT PLEASANT","medium",3,66
"PRUNUS CERASIFERA","OAKRIDGE","medium",3,139
"PRUNUS CERASIFERA","RENFREW-COLLINGWOOD","medium",3,476
"PRUNUS CERASIFERA","RILEY PARK","medium",3,194
"PRUNUS CERASIFERA","SHAUGHNESSY","medium",3,168
"PRUNUS CERASIFERA","SOUTH CAMBIE","medium",3,40
"PRUNUS CERASIFERA","STRATHCONA","medium",3,4
"PRUNUS CERASIFERA","SUNSET","medium",3,326
"PRUNUS CERASIFERA","VICTORIA-FRASERVIEW","medium",3,605
"PRUNUS CERASIFERA","WEST END","medium",3,145
"PRUNUS CERASIFERA","WEST POINT GREY","medium",3,193
"PRUNUS SERRULATA","ARBUTUS-RIDGE","medium",3,217
"PRUNUS SERRULATA","DOWNTOWN","medium",3,21
"PRUNUS SERRULATA","DUNBAR-SOUTHLANDS","medium",3,423
"PRUNUS SERRULATA","FAIRVIEW","medium",3,142
"PRUNUS SERRULATA","GRANDVIEW-WOODLAND","medium",3,277
"PRUNUS SERRULATA","HASTINGS-SUNRISE","medium",3,324
"PRUNUS SERRULATA","KENSINGTON-CEDAR COTTAGE","medium",3,690
"PRUNUS SERRULATA","KERRISDALE","medium",3,303
"PRUNUS SERRULATA","KILLARNEY","medium",3,212
"PRUNUS SERRULATA","KITSILANO","medium",3,215
"PRUNUS SERRULATA","MARPOLE","medium",3,397
"PRUNUS SERRULATA","MOUNT PLEASANT","medium",3,545
"PRUNUS SERRULATA","OAKRIDGE","medium",3,232
"PRUNUS SERRULATA","RENFREW-COLLINGWOOD","medium",3,461
"PRUNUS SERRULATA","RILEY PARK","medium",3,475
"PRUNUS SERRULATA","SHAUGHNESSY","medium",3,163
"PRUNUS SERRULATA","SOUTH CAMBIE","medium",3,113
"PRUNUS SERRULATA","STRATHCONA","medium",3,88
"PRUNUS SERRULATA","SUNSET","medium",3,432
"PRUNUS SERRULATA","VICTORIA-FRASERVIEW","medium",3,453
"PRUNUS SERRULATA","WEST END","medium",3,158
"PRUNUS SERRULATA","WEST POINT GREY","medium",3,163
"TILIA EUCHLORA   X","ARBUTUS-RIDGE","medium",3,47
"TILIA EUCHLORA   X","DOWNTOWN","medium",3,122
"TILIA EUCHLORA   X","DUNBAR-SOUTHLANDS","medium",3,56
"TILIA EUCHLORA   X","FAIRVIEW","medium",3,79
"TILIA EUCHLORA   X","GRANDVIEW-WOODLAND","medium",3,177
"TILIA EUCHLORA   X","HASTINGS-SUNRISE","medium",3,223
"TILIA EUCHLORA   X","KENSINGTON-CEDAR COTTAGE","medium",3,298
"TILIA EUCHLORA   X","KERRISDALE","medium",3,100
"TILIA EUCHLORA   X","KILLARNEY","medium",3,551
"TILIA EUCHLORA   X","KITSILANO","medium",3,389
"TILIA EUCHLORA   X","MARPOLE","medium",3,19
"TILIA EUCHLORA   X","MOUNT PLEASANT","medium",3,180
"TILIA EUCHLORA   X","OAKRIDGE","medium",3,28
"TILIA EUCHLORA   X","RENFREW-COLLINGWOOD","medium",3,343
"TILIA EUCHLORA   X","RILEY PARK","medium",3,247
"TILIA EUCHLORA   X","SHAUGHNESSY","medium",3,52
"TILIA EUCHLORA   X","SOUTH CAMBIE","medium",3,48
"TILIA EUCHLORA   X","STRATHCONA","medium",3,71
"TILIA EUCHLORA   X","SUNSET","medium",3,279
"TILIA EUCHLORA   X","VICTORIA-FRASERVIEW","medium",3,399
"TILIA EUCHLORA   X","WEST END","medium",3,89
"TILIA EUCHLORA   X","WEST POINT GREY","medium",3,70
"ACER CAMPESTRE","ARBUTUS-RIDGE","medium",4,45
"ACER CAMPESTRE","DOWNTOWN","medium",4,73
"ACER CAMPESTRE","DUNBAR-SOUTHLANDS","medium",4,79
"ACER CAMPESTRE","FAIRVIEW","medium",4,29
"ACER CAMPESTRE","GRANDVIEW-WOODLAND","medium",4,48
"ACER CAMPESTRE","HASTINGS-SUNRISE","medium",4,193
"ACER CAMPESTRE","KENSINGTON-CEDAR COTTAGE","medium",4,147
"ACER CAMPESTRE","KERRISDALE","medium",4,10
"ACER CAMPESTRE","KILLARNEY","medium",4,14
"ACER CAMPESTRE","KITSILANO","medium",4,41
"ACER CAMPESTRE","MOUNT PLEASANT","medium",4,36
"ACER CAMPESTRE","OAKRIDGE","medium",4,8
"ACER CAMPESTRE","RENFREW-COLLINGWOOD","medium",4,126
"ACER CAMPESTRE","RILEY PARK","medium",4,140
"ACER CAMPESTRE","SHAUGHNESSY","medium",4,41
"ACER CAMPESTRE","SOUTH CAMBIE","medium",4,15
"ACER CAMPESTRE","STRATHCONA","medium",4,13
"ACER CAMPESTRE","SUNSET","medium",4,90
"ACER CAMPESTRE","VICTORIA-FRASERVIEW","medium",4,56
"ACER CAMPESTRE","WEST END","medium",4,24
"ACER CAMPESTRE","WEST POINT GREY","medium",4,17
"ACER FREEMANI   X","ARBUTUS-RIDGE","medium",4,6
"ACER FREEMANI   X","DOWNTOWN","medium",4,104
"ACER FREEMANI   X","DUNBAR-SOUTHLANDS","medium",4,31
"ACER FREEMANI   X","FAIRVIEW","medium",4,47
"ACER FREEMANI   X","GRANDVIEW-WOODLAND","medium",4,93
"ACER FREEMANI   X","HASTINGS-SUNRISE","medium",4,154
"ACER FREEMANI   X","KENSINGTON-CEDAR COTTAGE","medium",4,94
"ACER FREEMANI   X","KERRISDALE","medium",4,28
"ACER FREEMANI   X","KILLARNEY","medium",4,102
"ACER FREEMANI   X","KITSILANO","medium",4,34
"ACER FREEMANI   X","MARPOLE","medium",4,28
"ACER FREEMANI   X","MOUNT PLEASANT","medium",4,191
"ACER FREEMANI   X","OAKRIDGE","medium",4,6
"ACER FREEMANI   X","RENFREW-COLLINGWOOD","medium",4,60
"ACER FREEMANI   X","RILEY PARK","medium",4,47
"ACER FREEMANI   X","SHAUGHNESSY","medium",4,9
"ACER FREEMANI   X","SOUTH CAMBIE","medium",4,15
"ACER FREEMANI   X","STRATHCONA","medium",4,8
"ACER FREEMANI   X","SUNSET","medium",4,40
"ACER FREEMANI   X","VICTORIA-FRASERVIEW","medium",4,57
"ACER FREEMANI   X","WEST END","medium",4,95
"ACER FREEMANI   X","WEST POINT GREY","medium",4,37
"ACER PLATANOIDES","ARBUTUS-RIDGE","medium",4,84
"ACER PLATANOIDES","DOWNTOWN","medium",4,136
"ACER PLATANOIDES","DUNBAR-SOUTHLANDS","medium",4,558
"ACER PLATANOIDES","FAIRVIEW","medium",4,179
"ACER PLATANOIDES","GRANDVIEW-WOODLAND","medium",4,123
"ACER PLATANOIDES","HASTINGS-SUNRISE","medium",4,294
"ACER PLATANOIDES","KENSINGTON-CEDAR COTTAGE","medium",4,219
"ACER PLATANOIDES","KERRISDALE","medium",4,557
"ACER PLATANOIDES","KILLARNEY","medium",4,56
"ACER PLATANOIDES","KITSILANO","medium",4,550
"ACER PLATANOIDES","MARPOLE","medium",4,271
"ACER PLATANOIDES","MOUNT PLEASANT","medium",4,174
"ACER PLATANOIDES","OAKRIDGE","medium",4,83
"ACER PLATANOIDES","RENFREW-COLLINGWOOD","medium",4,171
"ACER PLATANOIDES","RILEY PARK","medium",4,193
"ACER PLATANOIDES","SHAUGHNESSY","medium",4,488
"ACER PLATANOIDES","SOUTH CAMBIE","medium",4,139
"ACER PLATANOIDES","STRATHCONA","medium",4,51
"ACER PLATANOIDES","SUNSET","medium",4,226
"ACER PLATANOIDES","VICTORIA-FRASERVIEW","medium",4,48
"ACER PLATANOIDES","WEST END","medium",4,129
"ACER PLATANOIDES","WEST POINT GREY","medium",4,293
"ACER RUBRUM","ARBUTUS-RIDGE","medium",4,111
"ACER RUBRUM","DOWNTOWN","medium",4,466
"ACER RUBRUM","DUNBAR-SOUTHLANDS","medium",4,93
"ACER RUBRUM","FAIRVIEW","medium",4,344
"ACER RUBRUM","GRANDVIEW-WOODLAND","medium",4,256
"ACER RUBRUM","HASTINGS-SUNRISE","medium",4,207
"ACER RUBRUM","KENSINGTON-CEDAR COTTAGE","medium",4,230
"ACER RUBRUM","KERRISDALE","medium",4,51
"ACER RUBRUM","KILLARNEY","medium",4,266
"ACER RUBRUM","KITSILANO","medium",4,199
"ACER RUBRUM","MARPOLE","medium",4,150
"ACER RUBRUM","MOUNT PLEASANT","medium",4,293
"ACER RUBRUM","OAKRIDGE","medium",4,42
"ACER RUBRUM","RENFREW-COLLINGWOOD","medium",4,165
"ACER RUBRUM","RILEY PARK","medium",4,73
"ACER RUBRUM","SHAUGHNESSY","medium",4,66
"ACER RUBRUM","SOUTH CAMBIE","medium",4,59
"ACER RUBRUM","STRATHCONA","medium",4,62
"ACER RUBRUM","SUNSET","medium",4,74
"ACER RUBRUM","VICTORIA-FRASERVIEW","medium",4,63
"ACER RUBRUM","WEST END","medium",4,150
"ACER RUBRUM","WEST POINT GREY","medium",4,86
"CARPINUS BETULUS","ARBUTUS-RIDGE","medium",4,63
"CARPINUS BETULUS","DOWNTOWN","medium",4,115
"CARPINUS BETULUS","FAIRVIEW","medium",4,76
"CARPINUS BETULUS","GRANDVIEW-WOODLAND","medium",4,198
"CARPINUS BETULUS","HASTINGS-SUNRISE","medium",4,224
"CARPINUS BETULUS","KENSINGTON-CEDAR COTTAGE","medium",4,205
"CARPINUS BETULUS","KERRISDALE","medium",4,13
"CARPINUS BETULUS","KILLARNEY","medium",4,71
"CARPINUS BETULUS","KITSILANO","medium",4,118
"CARPINUS BETULUS","MARPOLE","medium",4,85
"CARPINUS BETULUS","MOUNT PLEASANT","medium",4,63
"CARPINUS BETULUS","OAKRIDGE","medium",4,8
"CARPINUS BETULUS","RENFREW-COLLINGWOOD","medium",4,189
"CARPINUS BETULUS","RILEY PARK","medium",4,135
"CARPINUS BETULUS","SHAUGHNESSY","medium",4,25
"CARPINUS BETULUS","SOUTH CAMBIE","medium",4,12
"CARPINUS BETULUS","STRATHCONA","medium",4,102
"CARPINUS BETULUS","SUNSET","medium",4,130
"CARPINUS BETULUS","VICTORIA-FRASERVIEW","medium",4,60
"CARPINUS BETULUS","WEST END","medium",4,62
"CARPINUS BETULUS","WEST POINT GREY","medium",4,11
"FAGUS SYLVATICA","ARBUTUS-RIDGE","medium",4,34
"FAGUS SYLVATICA","DOWNTOWN","medium",4,128
"FAGUS SYLVATICA","DUNBAR-SOUTHLANDS","medium",4,15
"FAGUS SYLVATICA","FAIRVIEW","medium",4,39
"FAGUS SYLVATICA","GRANDVIEW-WOODLAND","medium",4,100
"FAGUS SYLVATICA","HASTINGS-SUNRISE","medium",4,87
"FAGUS SYLVATICA","KENSINGTON-CEDAR COTTAGE","medium",4,122
"FAGUS SYLVATICA","KERRISDALE","medium",4,21
"FAGUS SYLVATICA","KILLARNEY","medium",4,33
"FAGUS SYLVATICA","KITSILANO","medium",4,65
"FAGUS SYLVATICA","MARPOLE","medium",4,27
"FAGUS SYLVATICA","MOUNT PLEASANT","medium",4,70
"FAGUS SYLVATICA","OAKRIDGE","medium",4,4
"FAGUS SYLVATICA","RENFREW-COLLINGWOOD","medium",4,188
"FAGUS SYLVATICA","RILEY PARK","medium",4,43
"FAGUS SYLVATICA","SHAUGHNESSY","medium",4,9
"FAGUS SYLVATICA","SOUTH CAMBIE","medium",4,36
"FAGUS SYLVATICA","STRATHCONA","medium",4,15
"FAGUS SYLVATICA","SUNSET","medium",4,73
"FAGUS SYLVATICA","VICTORIA-FRASERVIEW","medium",4,28
"FAGUS SYLVATICA","WEST END","medium",4,20
